evidence_id,doc_id,page,excerpt
E-37,D-0028,5,Onboarding questionnaire notes elevated jurisdiction risk
E-38,D-0029,2,Sanctions list check returned no adverse matches
E-39,D-0029,6,Enhanced due diligence pack completed for high-risk profile
E-40,D-0030,8,Correspondent banking relationship reviewed and approved
E-41,D-0031,4,Corporate registry extract confirms directorship details
E-42,D-0032,9,PEP screening result flagged for secondary review
E-43,D-0033,3,Owner address verified via recent utility bill
E-44,D-0033,7,Trade finance documentation screened for AML red flags
E-45,D-0034,5,Adverse media screening returned no material findings
E-46,D-0035,11,Counterparty due diligence report attached to file
E-47,D-0036,6,Wire transfer approval obtained from secondary reviewer
E-48,D-0037,2,Beneficial ownership structure updated in latest KYC form
E-49,D-0038,8,Transaction history shows repeated international wires
E-50,D-0038,4,Source of funds documentation provided and reviewed
E-51,D-0039,12,Beneficial owner is listed as a politically exposed person
E-52,D-0040,5,Onboarding questionnaire notes elevated jurisdiction risk
E-53,D-0041,3,Sanctions list check returned no adverse matches
E-54,D-0042,7,Enhanced due diligence pack completed for high-risk profile
E-55,D-0042,9,Whistleblower report logged and handled confidentially
E-56,D-0043,4,Virtual asset transaction traced to verified wallet
E-57,D-0044,6,Suspicious transaction report filed with regulator
E-58,D-0044,2,Owner address verified via recent utility bill
E-0001,D-0001,17,Screening result requires a secondary analyst assessment.
E-0002,D-0001,12,Source-of-funds declaration has been received and indexed.
E-0003,D-0001,2,Onboarding questionnaire records elevated jurisdiction exposure.
E-0004,D-0002,16,Corporate registry extract confirms directorship details.
E-0005,D-0002,15,Beneficial owner identity confirmed against a synthetic registry extract.
E-0006,D-0002,4,Transaction narrative indicates cross-border activity requiring review.
E-0007,D-0003,13,Corporate registry extract confirms directorship details.
E-0008,D-0003,13,Corporate registry extract confirms directorship details.
E-0009,D-0003,12,Transaction narrative indicates cross-border activity requiring review.
E-0010,D-0004,17,Onboarding questionnaire records elevated jurisdiction exposure.
E-0011,D-0004,11,Screening result requires a secondary analyst assessment.
E-0012,D-0004,12,Screening result requires a secondary analyst assessment.
E-0013,D-0005,9,Corporate registry extract confirms directorship details.
E-0014,D-0006,2,Transaction narrative indicates cross-border activity requiring review.
E-0015,D-0006,1,Transaction narrative indicates cross-border activity requiring review.
E-0016,D-0006,14,Source-of-funds declaration has been received and indexed.
E-0017,D-0007,13,Transaction narrative indicates cross-border activity requiring review.
E-0018,D-0008,14,Corporate registry extract confirms directorship details.
E-0019,D-0008,8,Onboarding questionnaire records elevated jurisdiction exposure.
E-0020,D-0008,11,Beneficial owner identity confirmed against a synthetic registry extract.
E-0021,D-0009,7,Screening result requires a secondary analyst assessment.
E-0022,D-0010,3,Screening result requires a secondary analyst assessment.
E-0023,D-0011,11,Source-of-funds declaration has been received and indexed.
E-0024,D-0011,2,Beneficial owner identity confirmed against a synthetic registry extract.
E-0025,D-0012,11,Corporate registry extract confirms directorship details.
E-0026,D-0012,16,Corporate registry extract confirms directorship details.
E-0027,D-0012,18,Source-of-funds declaration has been received and indexed.
E-0028,D-0013,9,Source-of-funds declaration has been received and indexed.
E-0029,D-0013,16,Transaction narrative indicates cross-border activity requiring review.
E-0030,D-0013,5,Beneficial owner identity confirmed against a synthetic registry extract.
E-0031,D-0014,8,Source-of-funds declaration has been received and indexed.
E-0032,D-0015,9,Corporate registry extract confirms directorship details.
E-0033,D-0015,16,Beneficial owner identity confirmed against a synthetic registry extract.
E-0034,D-0016,16,Screening result requires a secondary analyst assessment.
E-0035,D-0017,2,Source-of-funds declaration has been received and indexed.
E-0036,D-0018,18,Beneficial owner identity confirmed against a synthetic registry extract.
E-0037,D-0018,10,Screening result requires a secondary analyst assessment.
E-0038,D-0018,5,Corporate registry extract confirms directorship details.
E-0039,D-0019,14,Source-of-funds declaration has been received and indexed.
E-0040,D-0020,11,Screening result requires a secondary analyst assessment.
E-0041,D-0020,3,Source-of-funds declaration has been received and indexed.
E-0042,D-0021,16,Corporate registry extract confirms directorship details.
E-0043,D-0022,3,Screening result requires a secondary analyst assessment.
E-0044,D-0022,7,Transaction narrative indicates cross-border activity requiring review.
E-0045,D-0022,18,Transaction narrative indicates cross-border activity requiring review.
E-0046,D-0023,4,Source-of-funds declaration has been received and indexed.
E-0047,D-0024,14,Screening result requires a secondary analyst assessment.
E-0048,D-0024,1,Corporate registry extract confirms directorship details.
E-0049,D-0024,15,Source-of-funds declaration has been received and indexed.
E-0050,D-0025,4,Screening result requires a secondary analyst assessment.
E-0051,D-0026,12,Source-of-funds declaration has been received and indexed.
E-0052,D-0026,8,Transaction narrative indicates cross-border activity requiring review.
E-0053,D-0026,6,Transaction narrative indicates cross-border activity requiring review.
E-0054,D-0027,14,Transaction narrative indicates cross-border activity requiring review.
E-0055,D-0027,8,Source-of-funds declaration has been received and indexed.
E-0056,D-0027,13,Corporate registry extract confirms directorship details.
E-0057,D-0028,6,Screening result requires a secondary analyst assessment.
E-0058,D-0028,7,Onboarding questionnaire records elevated jurisdiction exposure.
E-0059,D-0029,3,Corporate registry extract confirms directorship details.
E-0060,D-0030,6,Transaction narrative indicates cross-border activity requiring review.
E-0061,D-0031,10,Source-of-funds declaration has been received and indexed.
E-0062,D-0031,12,Screening result requires a secondary analyst assessment.
E-0063,D-0031,3,Source-of-funds declaration has been received and indexed.
E-0064,D-0032,8,Beneficial owner identity confirmed against a synthetic registry extract.
E-0065,D-0032,13,Transaction narrative indicates cross-border activity requiring review.
E-0066,D-0032,2,Corporate registry extract confirms directorship details.
E-0067,D-0033,4,Source-of-funds declaration has been received and indexed.
E-0068,D-0033,15,Source-of-funds declaration has been received and indexed.
E-0069,D-0034,11,Onboarding questionnaire records elevated jurisdiction exposure.
E-0070,D-0034,13,Source-of-funds declaration has been received and indexed.
E-0071,D-0035,1,Corporate registry extract confirms directorship details.
E-0072,D-0036,3,Beneficial owner identity confirmed against a synthetic registry extract.
E-0073,D-0036,1,Transaction narrative indicates cross-border activity requiring review.
E-0074,D-0037,9,Beneficial owner identity confirmed against a synthetic registry extract.
E-0075,D-0037,13,Onboarding questionnaire records elevated jurisdiction exposure.
E-0076,D-0038,7,Onboarding questionnaire records elevated jurisdiction exposure.
E-0077,D-0038,14,Corporate registry extract confirms directorship details.
E-0078,D-0039,5,Onboarding questionnaire records elevated jurisdiction exposure.
E-0079,D-0039,7,Beneficial owner identity confirmed against a synthetic registry extract.
E-0080,D-0039,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0081,D-0040,18,Beneficial owner identity confirmed against a synthetic registry extract.
E-0082,D-0040,1,Screening result requires a secondary analyst assessment.
E-0083,D-0041,3,Transaction narrative indicates cross-border activity requiring review.
E-0084,D-0041,4,Onboarding questionnaire records elevated jurisdiction exposure.
E-0085,D-0041,8,Source-of-funds declaration has been received and indexed.
E-0086,D-0042,9,Beneficial owner identity confirmed against a synthetic registry extract.
E-0087,D-0042,18,Onboarding questionnaire records elevated jurisdiction exposure.
E-0088,D-0043,2,Beneficial owner identity confirmed against a synthetic registry extract.
E-0089,D-0043,5,Onboarding questionnaire records elevated jurisdiction exposure.
E-0090,D-0044,2,Source-of-funds declaration has been received and indexed.
E-0091,D-0044,2,Onboarding questionnaire records elevated jurisdiction exposure.
E-0092,D-0044,12,Onboarding questionnaire records elevated jurisdiction exposure.
E-0093,D-0045,9,Screening result requires a secondary analyst assessment.
E-0094,D-0046,14,Onboarding questionnaire records elevated jurisdiction exposure.
E-0095,D-0046,3,Beneficial owner identity confirmed against a synthetic registry extract.
E-0096,D-0047,3,Beneficial owner identity confirmed against a synthetic registry extract.
E-0097,D-0047,9,Beneficial owner identity confirmed against a synthetic registry extract.
E-0098,D-0047,5,Transaction narrative indicates cross-border activity requiring review.
E-0099,D-0048,1,Corporate registry extract confirms directorship details.
E-0100,D-0049,8,Source-of-funds declaration has been received and indexed.
E-0101,D-0050,14,Source-of-funds declaration has been received and indexed.
E-0102,D-0050,1,Beneficial owner identity confirmed against a synthetic registry extract.
E-0103,D-0050,11,Source-of-funds declaration has been received and indexed.
E-0104,D-0051,6,Corporate registry extract confirms directorship details.
E-0105,D-0051,12,Onboarding questionnaire records elevated jurisdiction exposure.
E-0106,D-0051,6,Source-of-funds declaration has been received and indexed.
E-0107,D-0052,3,Source-of-funds declaration has been received and indexed.
E-0108,D-0052,15,Source-of-funds declaration has been received and indexed.
E-0109,D-0053,2,Beneficial owner identity confirmed against a synthetic registry extract.
E-0110,D-0054,4,Corporate registry extract confirms directorship details.
E-0111,D-0054,4,Screening result requires a secondary analyst assessment.
E-0112,D-0055,14,Screening result requires a secondary analyst assessment.
E-0113,D-0055,15,Onboarding questionnaire records elevated jurisdiction exposure.
E-0114,D-0056,7,Transaction narrative indicates cross-border activity requiring review.
E-0115,D-0056,8,Screening result requires a secondary analyst assessment.
E-0116,D-0056,14,Screening result requires a secondary analyst assessment.
E-0117,D-0057,14,Beneficial owner identity confirmed against a synthetic registry extract.
E-0118,D-0057,10,Transaction narrative indicates cross-border activity requiring review.
E-0119,D-0057,4,Beneficial owner identity confirmed against a synthetic registry extract.
E-0120,D-0058,10,Screening result requires a secondary analyst assessment.
E-0121,D-0058,7,Onboarding questionnaire records elevated jurisdiction exposure.
E-0122,D-0058,10,Beneficial owner identity confirmed against a synthetic registry extract.
E-0123,D-0059,11,Screening result requires a secondary analyst assessment.
E-0124,D-0059,6,Beneficial owner identity confirmed against a synthetic registry extract.
E-0125,D-0059,12,Transaction narrative indicates cross-border activity requiring review.
E-0126,D-0060,2,Source-of-funds declaration has been received and indexed.
E-0127,D-0061,10,Beneficial owner identity confirmed against a synthetic registry extract.
E-0128,D-0061,4,Beneficial owner identity confirmed against a synthetic registry extract.
E-0129,D-0062,16,Corporate registry extract confirms directorship details.
E-0130,D-0062,8,Transaction narrative indicates cross-border activity requiring review.
E-0131,D-0062,11,Onboarding questionnaire records elevated jurisdiction exposure.
E-0132,D-0063,6,Onboarding questionnaire records elevated jurisdiction exposure.
E-0133,D-0063,1,Screening result requires a secondary analyst assessment.
E-0134,D-0063,11,Corporate registry extract confirms directorship details.
E-0135,D-0064,15,Transaction narrative indicates cross-border activity requiring review.
E-0136,D-0064,10,Beneficial owner identity confirmed against a synthetic registry extract.
E-0137,D-0064,14,Onboarding questionnaire records elevated jurisdiction exposure.
E-0138,D-0065,18,Transaction narrative indicates cross-border activity requiring review.
E-0139,D-0065,5,Onboarding questionnaire records elevated jurisdiction exposure.
E-0140,D-0065,11,Transaction narrative indicates cross-border activity requiring review.
E-0141,D-0066,8,Beneficial owner identity confirmed against a synthetic registry extract.
E-0142,D-0067,5,Onboarding questionnaire records elevated jurisdiction exposure.
E-0143,D-0068,8,Screening result requires a secondary analyst assessment.
E-0144,D-0068,11,Source-of-funds declaration has been received and indexed.
E-0145,D-0068,10,Corporate registry extract confirms directorship details.
E-0146,D-0069,7,Onboarding questionnaire records elevated jurisdiction exposure.
E-0147,D-0070,16,Source-of-funds declaration has been received and indexed.
E-0148,D-0070,18,Source-of-funds declaration has been received and indexed.
E-0149,D-0071,6,Beneficial owner identity confirmed against a synthetic registry extract.
E-0150,D-0072,11,Screening result requires a secondary analyst assessment.
E-0151,D-0072,12,Source-of-funds declaration has been received and indexed.
E-0152,D-0072,16,Beneficial owner identity confirmed against a synthetic registry extract.
E-0153,D-0073,2,Transaction narrative indicates cross-border activity requiring review.
E-0154,D-0073,13,Screening result requires a secondary analyst assessment.
E-0155,D-0074,17,Onboarding questionnaire records elevated jurisdiction exposure.
E-0156,D-0074,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0157,D-0075,14,Source-of-funds declaration has been received and indexed.
E-0158,D-0075,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0159,D-0075,11,Screening result requires a secondary analyst assessment.
E-0160,D-0076,13,Corporate registry extract confirms directorship details.
E-0161,D-0077,6,Source-of-funds declaration has been received and indexed.
E-0162,D-0077,12,Source-of-funds declaration has been received and indexed.
E-0163,D-0078,15,Transaction narrative indicates cross-border activity requiring review.
E-0164,D-0078,6,Source-of-funds declaration has been received and indexed.
E-0165,D-0078,2,Transaction narrative indicates cross-border activity requiring review.
E-0166,D-0079,12,Transaction narrative indicates cross-border activity requiring review.
E-0167,D-0079,3,Source-of-funds declaration has been received and indexed.
E-0168,D-0079,3,Transaction narrative indicates cross-border activity requiring review.
E-0169,D-0080,14,Source-of-funds declaration has been received and indexed.
E-0170,D-0080,4,Source-of-funds declaration has been received and indexed.
E-0171,D-0081,1,Beneficial owner identity confirmed against a synthetic registry extract.
E-0172,D-0081,12,Onboarding questionnaire records elevated jurisdiction exposure.
E-0173,D-0081,5,Corporate registry extract confirms directorship details.
E-0174,D-0082,17,Transaction narrative indicates cross-border activity requiring review.
E-0175,D-0083,18,Beneficial owner identity confirmed against a synthetic registry extract.
E-0176,D-0083,9,Onboarding questionnaire records elevated jurisdiction exposure.
E-0177,D-0083,7,Transaction narrative indicates cross-border activity requiring review.
E-0178,D-0084,18,Transaction narrative indicates cross-border activity requiring review.
E-0179,D-0084,10,Transaction narrative indicates cross-border activity requiring review.
E-0180,D-0084,3,Corporate registry extract confirms directorship details.
E-0181,D-0085,15,Onboarding questionnaire records elevated jurisdiction exposure.
E-0182,D-0086,15,Screening result requires a secondary analyst assessment.
E-0183,D-0086,1,Onboarding questionnaire records elevated jurisdiction exposure.
E-0184,D-0086,16,Screening result requires a secondary analyst assessment.
E-0185,D-0087,5,Beneficial owner identity confirmed against a synthetic registry extract.
E-0186,D-0088,8,Transaction narrative indicates cross-border activity requiring review.
E-0187,D-0088,12,Screening result requires a secondary analyst assessment.
E-0188,D-0088,10,Source-of-funds declaration has been received and indexed.
E-0189,D-0089,17,Onboarding questionnaire records elevated jurisdiction exposure.
E-0190,D-0090,11,Beneficial owner identity confirmed against a synthetic registry extract.
E-0191,D-0090,4,Transaction narrative indicates cross-border activity requiring review.
E-0192,D-0091,5,Transaction narrative indicates cross-border activity requiring review.
E-0193,D-0091,9,Beneficial owner identity confirmed against a synthetic registry extract.
E-0194,D-0092,18,Beneficial owner identity confirmed against a synthetic registry extract.
E-0195,D-0093,3,Source-of-funds declaration has been received and indexed.
E-0196,D-0094,3,Source-of-funds declaration has been received and indexed.
E-0197,D-0095,9,Onboarding questionnaire records elevated jurisdiction exposure.
E-0198,D-0095,4,Corporate registry extract confirms directorship details.
E-0199,D-0095,8,Beneficial owner identity confirmed against a synthetic registry extract.
E-0200,D-0096,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0201,D-0096,11,Corporate registry extract confirms directorship details.
E-0202,D-0096,11,Transaction narrative indicates cross-border activity requiring review.
E-0203,D-0097,5,Screening result requires a secondary analyst assessment.
E-0204,D-0098,16,Transaction narrative indicates cross-border activity requiring review.
E-0205,D-0099,2,Screening result requires a secondary analyst assessment.
E-0206,D-0100,11,Corporate registry extract confirms directorship details.
E-0207,D-0100,4,Screening result requires a secondary analyst assessment.
E-0208,D-0100,8,Beneficial owner identity confirmed against a synthetic registry extract.
E-0209,D-0101,11,Transaction narrative indicates cross-border activity requiring review.
E-0210,D-0101,10,Corporate registry extract confirms directorship details.
E-0211,D-0102,15,Beneficial owner identity confirmed against a synthetic registry extract.
E-0212,D-0102,11,Corporate registry extract confirms directorship details.
E-0213,D-0103,3,Transaction narrative indicates cross-border activity requiring review.
E-0214,D-0103,18,Source-of-funds declaration has been received and indexed.
E-0215,D-0104,13,Screening result requires a secondary analyst assessment.
E-0216,D-0104,17,Beneficial owner identity confirmed against a synthetic registry extract.
E-0217,D-0105,13,Transaction narrative indicates cross-border activity requiring review.
E-0218,D-0105,8,Source-of-funds declaration has been received and indexed.
E-0219,D-0106,12,Corporate registry extract confirms directorship details.
E-0220,D-0106,12,Screening result requires a secondary analyst assessment.
E-0221,D-0106,13,Transaction narrative indicates cross-border activity requiring review.
E-0222,D-0107,14,Screening result requires a secondary analyst assessment.
E-0223,D-0107,3,Screening result requires a secondary analyst assessment.
E-0224,D-0108,5,Onboarding questionnaire records elevated jurisdiction exposure.
E-0225,D-0108,14,Corporate registry extract confirms directorship details.
E-0226,D-0109,12,Corporate registry extract confirms directorship details.
E-0227,D-0109,16,Onboarding questionnaire records elevated jurisdiction exposure.
E-0228,D-0109,15,Screening result requires a secondary analyst assessment.
E-0229,D-0110,13,Corporate registry extract confirms directorship details.
E-0230,D-0110,8,Corporate registry extract confirms directorship details.
E-0231,D-0111,4,Source-of-funds declaration has been received and indexed.
E-0232,D-0111,14,Onboarding questionnaire records elevated jurisdiction exposure.
E-0233,D-0111,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0234,D-0112,15,Transaction narrative indicates cross-border activity requiring review.
E-0235,D-0113,10,Screening result requires a secondary analyst assessment.
E-0236,D-0113,13,Source-of-funds declaration has been received and indexed.
E-0237,D-0114,12,Screening result requires a secondary analyst assessment.
E-0238,D-0115,15,Onboarding questionnaire records elevated jurisdiction exposure.
E-0239,D-0116,9,Source-of-funds declaration has been received and indexed.
E-0240,D-0116,1,Screening result requires a secondary analyst assessment.
E-0241,D-0117,16,Transaction narrative indicates cross-border activity requiring review.
E-0242,D-0117,16,Screening result requires a secondary analyst assessment.
E-0243,D-0117,2,Screening result requires a secondary analyst assessment.
E-0244,D-0118,1,Transaction narrative indicates cross-border activity requiring review.
E-0245,D-0118,9,Transaction narrative indicates cross-border activity requiring review.
E-0246,D-0118,2,Onboarding questionnaire records elevated jurisdiction exposure.
E-0247,D-0119,11,Onboarding questionnaire records elevated jurisdiction exposure.
E-0248,D-0119,2,Transaction narrative indicates cross-border activity requiring review.
E-0249,D-0120,7,Onboarding questionnaire records elevated jurisdiction exposure.
E-0250,D-0120,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0251,D-0121,5,Beneficial owner identity confirmed against a synthetic registry extract.
E-0252,D-0121,16,Transaction narrative indicates cross-border activity requiring review.
E-0253,D-0121,6,Corporate registry extract confirms directorship details.
E-0254,D-0122,12,Corporate registry extract confirms directorship details.
E-0255,D-0123,8,Transaction narrative indicates cross-border activity requiring review.
E-0256,D-0123,7,Beneficial owner identity confirmed against a synthetic registry extract.
E-0257,D-0123,15,Screening result requires a secondary analyst assessment.
E-0258,D-0124,8,Onboarding questionnaire records elevated jurisdiction exposure.
E-0259,D-0124,17,Transaction narrative indicates cross-border activity requiring review.
E-0260,D-0125,14,Transaction narrative indicates cross-border activity requiring review.
E-0261,D-0126,2,Onboarding questionnaire records elevated jurisdiction exposure.
E-0262,D-0126,18,Onboarding questionnaire records elevated jurisdiction exposure.
E-0263,D-0126,6,Transaction narrative indicates cross-border activity requiring review.
E-0264,D-0127,15,Beneficial owner identity confirmed against a synthetic registry extract.
E-0265,D-0127,1,Onboarding questionnaire records elevated jurisdiction exposure.
E-0266,D-0128,4,Screening result requires a secondary analyst assessment.
E-0267,D-0128,13,Screening result requires a secondary analyst assessment.
E-0268,D-0128,14,Screening result requires a secondary analyst assessment.
E-0269,D-0129,9,Corporate registry extract confirms directorship details.
E-0270,D-0129,11,Source-of-funds declaration has been received and indexed.
E-0271,D-0130,2,Transaction narrative indicates cross-border activity requiring review.
E-0272,D-0130,8,Beneficial owner identity confirmed against a synthetic registry extract.
E-0273,D-0130,9,Corporate registry extract confirms directorship details.
E-0274,D-0131,1,Transaction narrative indicates cross-border activity requiring review.
E-0275,D-0131,14,Beneficial owner identity confirmed against a synthetic registry extract.
E-0276,D-0132,15,Corporate registry extract confirms directorship details.
E-0277,D-0133,16,Beneficial owner identity confirmed against a synthetic registry extract.
E-0278,D-0133,12,Onboarding questionnaire records elevated jurisdiction exposure.
E-0279,D-0134,14,Transaction narrative indicates cross-border activity requiring review.
E-0280,D-0134,1,Corporate registry extract confirms directorship details.
E-0281,D-0135,2,Source-of-funds declaration has been received and indexed.
E-0282,D-0136,6,Onboarding questionnaire records elevated jurisdiction exposure.
E-0283,D-0137,5,Transaction narrative indicates cross-border activity requiring review.
E-0284,D-0137,3,Onboarding questionnaire records elevated jurisdiction exposure.
E-0285,D-0137,11,Screening result requires a secondary analyst assessment.
E-0286,D-0138,4,Source-of-funds declaration has been received and indexed.
E-0287,D-0138,10,Onboarding questionnaire records elevated jurisdiction exposure.
E-0288,D-0139,15,Source-of-funds declaration has been received and indexed.
E-0289,D-0140,18,Screening result requires a secondary analyst assessment.
E-0290,D-0140,8,Transaction narrative indicates cross-border activity requiring review.
E-0291,D-0140,16,Transaction narrative indicates cross-border activity requiring review.
E-0292,D-0141,15,Screening result requires a secondary analyst assessment.
E-0293,D-0142,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0294,D-0142,8,Corporate registry extract confirms directorship details.
E-0295,D-0143,14,Corporate registry extract confirms directorship details.
E-0296,D-0143,3,Beneficial owner identity confirmed against a synthetic registry extract.
E-0297,D-0144,11,Screening result requires a secondary analyst assessment.
E-0298,D-0144,9,Onboarding questionnaire records elevated jurisdiction exposure.
E-0299,D-0144,3,Corporate registry extract confirms directorship details.
E-0300,D-0145,16,Corporate registry extract confirms directorship details.
E-0301,D-0145,14,Transaction narrative indicates cross-border activity requiring review.
E-0302,D-0145,6,Corporate registry extract confirms directorship details.
E-0303,D-0146,17,Corporate registry extract confirms directorship details.
E-0304,D-0146,17,Onboarding questionnaire records elevated jurisdiction exposure.
E-0305,D-0146,11,Corporate registry extract confirms directorship details.
E-0306,D-0147,12,Source-of-funds declaration has been received and indexed.
E-0307,D-0147,5,Source-of-funds declaration has been received and indexed.
E-0308,D-0147,11,Beneficial owner identity confirmed against a synthetic registry extract.
E-0309,D-0148,17,Onboarding questionnaire records elevated jurisdiction exposure.
E-0310,D-0148,15,Onboarding questionnaire records elevated jurisdiction exposure.
E-0311,D-0149,6,Transaction narrative indicates cross-border activity requiring review.
E-0312,D-0150,2,Beneficial owner identity confirmed against a synthetic registry extract.
E-0313,D-0150,16,Corporate registry extract confirms directorship details.
E-0314,D-0150,8,Screening result requires a secondary analyst assessment.
E-0315,D-0151,2,Transaction narrative indicates cross-border activity requiring review.
E-0316,D-0152,5,Screening result requires a secondary analyst assessment.
E-0317,D-0153,13,Source-of-funds declaration has been received and indexed.
E-0318,D-0153,16,Onboarding questionnaire records elevated jurisdiction exposure.
E-0319,D-0153,9,Source-of-funds declaration has been received and indexed.
E-0320,D-0154,15,Beneficial owner identity confirmed against a synthetic registry extract.
E-0321,D-0154,16,Screening result requires a secondary analyst assessment.
E-0322,D-0154,14,Corporate registry extract confirms directorship details.
E-0323,D-0155,1,Source-of-funds declaration has been received and indexed.
E-0324,D-0155,10,Transaction narrative indicates cross-border activity requiring review.
E-0325,D-0156,15,Corporate registry extract confirms directorship details.
E-0326,D-0156,16,Onboarding questionnaire records elevated jurisdiction exposure.
E-0327,D-0157,10,Onboarding questionnaire records elevated jurisdiction exposure.
E-0328,D-0157,2,Source-of-funds declaration has been received and indexed.
E-0329,D-0157,12,Transaction narrative indicates cross-border activity requiring review.
E-0330,D-0158,7,Onboarding questionnaire records elevated jurisdiction exposure.
E-0331,D-0158,8,Screening result requires a secondary analyst assessment.
E-0332,D-0159,1,Screening result requires a secondary analyst assessment.
E-0333,D-0159,16,Corporate registry extract confirms directorship details.
E-0334,D-0160,3,Screening result requires a secondary analyst assessment.
E-0335,D-0160,11,Source-of-funds declaration has been received and indexed.
E-0336,D-0161,16,Transaction narrative indicates cross-border activity requiring review.
E-0337,D-0161,9,Corporate registry extract confirms directorship details.
E-0338,D-0161,11,Corporate registry extract confirms directorship details.
E-0339,D-0162,11,Corporate registry extract confirms directorship details.
E-0340,D-0162,3,Beneficial owner identity confirmed against a synthetic registry extract.
E-0341,D-0163,11,Corporate registry extract confirms directorship details.
E-0342,D-0164,13,Onboarding questionnaire records elevated jurisdiction exposure.
E-0343,D-0164,6,Corporate registry extract confirms directorship details.
E-0344,D-0164,4,Onboarding questionnaire records elevated jurisdiction exposure.
E-0345,D-0165,10,Source-of-funds declaration has been received and indexed.
E-0346,D-0165,4,Source-of-funds declaration has been received and indexed.
E-0347,D-0165,6,Corporate registry extract confirms directorship details.
E-0348,D-0166,5,Source-of-funds declaration has been received and indexed.
E-0349,D-0166,18,Onboarding questionnaire records elevated jurisdiction exposure.
E-0350,D-0166,8,Source-of-funds declaration has been received and indexed.
E-0351,D-0167,10,Transaction narrative indicates cross-border activity requiring review.
E-0352,D-0167,9,Corporate registry extract confirms directorship details.
E-0353,D-0168,2,Corporate registry extract confirms directorship details.
E-0354,D-0169,12,Transaction narrative indicates cross-border activity requiring review.
E-0355,D-0169,12,Onboarding questionnaire records elevated jurisdiction exposure.
E-0356,D-0170,1,Transaction narrative indicates cross-border activity requiring review.
E-0357,D-0170,14,Screening result requires a secondary analyst assessment.
E-0358,D-0170,14,Beneficial owner identity confirmed against a synthetic registry extract.
E-0359,D-0171,10,Transaction narrative indicates cross-border activity requiring review.
E-0360,D-0171,13,Beneficial owner identity confirmed against a synthetic registry extract.
E-0361,D-0171,4,Beneficial owner identity confirmed against a synthetic registry extract.
E-0362,D-0172,5,Transaction narrative indicates cross-border activity requiring review.
E-0363,D-0172,1,Screening result requires a secondary analyst assessment.
E-0364,D-0173,7,Beneficial owner identity confirmed against a synthetic registry extract.
E-0365,D-0174,2,Transaction narrative indicates cross-border activity requiring review.
E-0366,D-0174,7,Source-of-funds declaration has been received and indexed.
E-0367,D-0174,17,Screening result requires a secondary analyst assessment.
E-0368,D-0175,1,Onboarding questionnaire records elevated jurisdiction exposure.
E-0369,D-0176,7,Screening result requires a secondary analyst assessment.
E-0370,D-0176,8,Transaction narrative indicates cross-border activity requiring review.
E-0371,D-0177,7,Transaction narrative indicates cross-border activity requiring review.
E-0372,D-0177,3,Onboarding questionnaire records elevated jurisdiction exposure.
