entity_id,name,country,ownership_pct,client_id
ENT-0054,Zephyr Family Office J,IE,60,C-00035
ENT-0055,Cobalt Trustees R,JP,40,C-00035
ENT-0056,Cobalt Fiduciary K,AE,100,C-00036
ENT-0057,Rivermark Fiduciary L,AE,60,C-00037
ENT-0058,Beacon Nominees T,SG,40,C-00037
ENT-0059,Dovetail Fiduciary M,SE,60,C-00038
ENT-0060,York Nominees U,AE,40,C-00038
ENT-0061,Granite Fiduciary N,IN,60,C-00039
ENT-0062,Solstice Management Ltd V,KY,40,C-00039
ENT-0063,Xenon Nominees O,DE,60,C-00040
ENT-0064,Zephyr Family Office W,JP,40,C-00040
ENT-0065,Peregrine Management Ltd P,NL,60,C-00041
ENT-0066,Evergreen Fiduciary X,IE,40,C-00041
ENT-0067,Mosaic Management Ltd Q,DE,60,C-00042
ENT-0068,Solstice Family Office Y,RU,40,C-00042
ENT-0069,Xenon Nominees R,BR,60,C-00043
ENT-0070,Aster Nominees Z,CA,40,C-00043
ENT-0071,Granite Family Office S,IE,100,C-00044
ENT-0072,Lattice Family Office T,VG,100,C-00045
ENT-0073,Harbour Fiduciary U,FR,60,C-00046
ENT-0074,Zephyr Management Ltd C,BR,40,C-00046
ENT-0075,Umbra Holdco V,SG,60,C-00047
ENT-0076,Oakmont Holdco D,EG,40,C-00047
ENT-0077,Granite Holdco W,VG,60,C-00048
ENT-0078,Zephyr Management Ltd E,GB,40,C-00048
ENT-0079,Northstar Holdco X,FR,60,C-00049
ENT-0080,Northstar Nominees F,BR,40,C-00049
ENT-0081,York Fiduciary Y,BR,60,C-00050
ENT-0082,Ion Fiduciary G,JP,40,C-00050
ENT-0083,Granite Nominees Z,JP,100,C-00051
ENT-0084,Juniper Nominees A,CA,100,C-00052
ENT-0085,York Trustees B,CA,100,C-00053
ENT-0086,York Holdco C,AE,100,C-00054
ENT-0087,Juniper Fiduciary D,AE,60,C-00055
ENT-0088,Fjord Trustees L,US,40,C-00055
ENT-0089,Northstar Family Office E,GB,60,C-00056
ENT-0090,Granite Fiduciary M,IN,40,C-00056
ENT-0091,Peregrine Holdco F,TR,60,C-00057
ENT-0092,Aster Fiduciary N,IN,40,C-00057
ENT-0093,Rivermark Trustees G,SG,60,C-00058
ENT-0094,Solstice Family Office O,US,40,C-00058
ENT-0095,Xenon Fiduciary H,FR,60,C-00059
ENT-0096,Beacon Fiduciary P,RU,40,C-00059
ENT-0097,Umbra Fiduciary I,SE,100,C-00060
ENT-0098,Westhaven Family Office J,SE,60,C-00061
ENT-0099,Juniper Holdco R,LT,40,C-00061
ENT-0100,Rivermark Family Office K,IN,100,C-00062
ENT-0101,Solstice Trustees L,SE,60,C-00063
ENT-0102,Ion Family Office T,CA,40,C-00063
ENT-0103,Verdant Fiduciary M,RU,100,C-00064
ENT-0104,Mosaic Trustees N,IE,60,C-00065
ENT-0105,Evergreen Trustees V,EG,40,C-00065
ENT-0106,Xenon Management Ltd O,IE,60,C-00066
ENT-0107,Westhaven Trustees W,KY,40,C-00066
ENT-0108,Dovetail Holdco P,SE,100,C-00067
ENT-0109,Verdant Management Ltd Q,GB,100,C-00068
ENT-0110,Verdant Fiduciary R,KY,100,C-00069
ENT-0111,Oakmont Family Office S,LT,100,C-00070
ENT-0112,Tandem Nominees T,GB,60,C-00071
ENT-0113,Umbra Fiduciary B,NL,40,C-00071
ENT-0114,York Holdco U,BR,100,C-00072
ENT-0115,Rivermark Fiduciary V,NL,60,C-00073
ENT-0116,Rivermark Family Office D,IE,40,C-00073
ENT-0117,Northstar Family Office W,RU,60,C-00074
ENT-0118,Juniper Family Office E,FR,40,C-00074
ENT-0119,Juniper Holdco X,FR,60,C-00075
ENT-0120,Rivermark Holdco F,TR,40,C-00075
ENT-0121,Ion Fiduciary Y,CH,100,C-00076
ENT-0122,Solstice Holdco Z,RU,60,C-00077
ENT-0123,Keystone Holdco H,GB,40,C-00077
ENT-0124,Fjord Family Office A,RU,100,C-00078
ENT-0125,Aster Family Office B,RU,100,C-00079
ENT-0126,Cobalt Fiduciary C,GB,60,C-00080
ENT-0127,Verdant Fiduciary K,NL,40,C-00080
ENT-0128,Harbour Trustees D,LT,60,C-00081
ENT-0129,Westhaven Family Office L,KY,40,C-00081
ENT-0130,Harbour Holdco E,SE,60,C-00082
ENT-0131,Westhaven Nominees M,FR,40,C-00082
ENT-0132,Lattice Fiduciary F,GB,100,C-00083
ENT-0133,Fjord Nominees G,FR,100,C-00084
ENT-0134,Northstar Management Ltd H,LT,60,C-00085
ENT-0135,Dovetail Management Ltd P,DE,40,C-00085
ENT-0136,Cobalt Nominees I,CH,100,C-00086
ENT-0137,Cobalt Nominees J,IN,60,C-00087
ENT-0138,Fjord Fiduciary R,AE,40,C-00087
ENT-0139,York Management Ltd K,SG,60,C-00088
ENT-0140,Evergreen Family Office S,CA,40,C-00088
ENT-0141,Lattice Trustees L,TR,100,C-00089
ENT-0142,Xenon Fiduciary M,US,100,C-00090
ENT-0143,Mosaic Management Ltd N,BR,100,C-00091
ENT-0144,Ion Fiduciary O,GB,60,C-00092
ENT-0145,Aster Trustees W,SG,40,C-00092
ENT-0146,Tandem Holdco P,IN,60,C-00093
ENT-0147,York Family Office X,AE,40,C-00093
ENT-0148,Tandem Trustees Q,FR,100,C-00094
ENT-0149,Harbour Fiduciary R,JP,100,C-00095
ENT-0150,Northstar Management Ltd S,CH,100,C-00096
ENT-0151,Xenon Nominees T,CH,100,C-00097
ENT-0152,Mosaic Fiduciary U,AE,60,C-00098
ENT-0153,Tandem Holdco C,CA,40,C-00098
ENT-0154,Verdant Fiduciary V,FR,60,C-00099
ENT-0155,Umbra Management Ltd D,EG,40,C-00099
ENT-0156,Westhaven Family Office W,NL,60,C-00100
ENT-0157,Oakmont Nominees E,SG,40,C-00100
ENT-0158,Juniper Nominees X,AE,60,C-00101
ENT-0159,Westhaven Nominees F,EG,40,C-00101
ENT-0160,Tandem Holdco Y,RU,100,C-00102
ENT-0161,Oakmont Holdco Z,SG,60,C-00103
ENT-0162,Rivermark Trustees H,BR,40,C-00103
ENT-0163,Juniper Holdco A,NL,60,C-00104
ENT-0164,Juniper Holdco I,CA,40,C-00104
ENT-0165,Fjord Nominees B,CA,60,C-00105
ENT-0166,Beacon Holdco J,SE,40,C-00105
ENT-0167,Juniper Family Office C,VG,100,C-00106
ENT-0168,Northstar Holdco D,LT,100,C-00107
ENT-0169,Quartz Holdco E,CH,60,C-00108
ENT-0170,Juniper Family Office M,CH,40,C-00108
ENT-0171,Harbour Holdco F,JP,100,C-00109
ENT-0172,Lattice Fiduciary G,VG,100,C-00110
ENT-0173,Beacon Holdco H,IN,100,C-00111
ENT-0174,Xenon Trustees I,TR,100,C-00112
ENT-0175,Xenon Fiduciary J,EG,100,C-00113
ENT-0176,Northstar Nominees K,CH,60,C-00114
ENT-0177,Granite Family Office S,GB,40,C-00114
ENT-0178,Mosaic Trustees L,NL,60,C-00115
ENT-0179,Mosaic Fiduciary T,TR,40,C-00115
ENT-0180,Mosaic Trustees M,GB,60,C-00116
ENT-0181,Keystone Nominees U,IE,40,C-00116
ENT-0182,Peregrine Fiduciary N,SE,60,C-00117
ENT-0183,Umbra Trustees V,BR,40,C-00117
ENT-0184,Northstar Nominees O,US,100,C-00118
ENT-0185,Lattice Family Office P,NL,100,C-00119
ENT-0186,Aster Holdco Q,AE,60,C-00120
ENT-0187,Xenon Fiduciary Y,VG,40,C-00120
ENT-0188,Peregrine Family Office R,LT,100,C-00121
ENT-0189,Umbra Fiduciary S,CA,100,C-00122
ENT-0190,Mosaic Nominees T,IN,60,C-00123
ENT-0191,Mosaic Family Office B,TR,40,C-00123
ENT-0192,Xenon Holdco U,NL,60,C-00124
ENT-0193,Juniper Family Office C,DE,40,C-00124
ENT-0194,Zephyr Trustees V,SE,60,C-00125
ENT-0195,Aster Family Office D,US,40,C-00125
ENT-0196,Quartz Trustees W,EG,100,C-00126
ENT-0197,Tandem Family Office X,AE,100,C-00127
ENT-0198,Lattice Family Office Y,EG,100,C-00128
ENT-0199,Lattice Management Ltd Z,VG,60,C-00129
ENT-0200,Fjord Fiduciary H,DE,40,C-00129
ENT-0201,Evergreen Management Ltd A,SG,60,C-00130
ENT-0202,Xenon Holdco I,VG,40,C-00130
ENT-0203,Oakmont Fiduciary B,TR,60,C-00131
ENT-0204,Fjord Trustees J,CA,40,C-00131
ENT-0205,Westhaven Nominees C,EG,60,C-00132
ENT-0206,Mosaic Nominees K,JP,40,C-00132
ENT-0207,Tandem Management Ltd D,CA,100,C-00133
ENT-0208,Evergreen Nominees E,LT,60,C-00134
ENT-0209,Cobalt Fiduciary M,BR,40,C-00134
ENT-0210,Verdant Trustees F,FR,60,C-00135
ENT-0211,Fjord Family Office N,EG,40,C-00135
ENT-0212,Aster Fiduciary G,RU,60,C-00136
ENT-0213,Tandem Trustees O,LT,40,C-00136
ENT-0214,Peregrine Trustees H,FR,60,C-00137
ENT-0215,Northstar Trustees P,VG,40,C-00137
ENT-0216,Fjord Holdco I,IN,60,C-00138
ENT-0217,Fjord Fiduciary Q,VG,40,C-00138
ENT-0218,Oakmont Trustees J,FR,100,C-00139
ENT-0219,Peregrine Management Ltd K,US,100,C-00140
ENT-0220,Quartz Nominees L,CA,60,C-00141
ENT-0221,Beacon Trustees T,US,40,C-00141
ENT-0222,Mosaic Fiduciary M,BR,60,C-00142
ENT-0223,Oakmont Management Ltd U,CA,40,C-00142
ENT-0224,Westhaven Holdco N,EG,100,C-00143
ENT-0225,Zephyr Family Office O,SE,60,C-00144
ENT-0226,Oakmont Management Ltd W,TR,40,C-00144
ENT-0227,Oakmont Holdco P,IE,60,C-00145
ENT-0228,Mosaic Fiduciary X,CA,40,C-00145
ENT-0229,Solstice Management Ltd Q,IN,60,C-00146
ENT-0230,Umbra Fiduciary Y,KY,40,C-00146
ENT-0231,Rivermark Management Ltd R,US,60,C-00147
ENT-0232,Lattice Holdco Z,KY,40,C-00147
ENT-0233,Verdant Management Ltd S,CH,100,C-00148
ENT-0234,Xenon Holdco T,FR,100,C-00149
ENT-0235,Solstice Fiduciary U,CA,60,C-00150
ENT-0236,Umbra Family Office C,AE,40,C-00150
ENT-0237,Westhaven Family Office V,VG,60,C-00151
ENT-0238,Harbour Fiduciary D,GB,40,C-00151
ENT-0239,Zephyr Fiduciary W,SG,60,C-00152
ENT-0240,Peregrine Family Office E,GB,40,C-00152
ENT-0241,Verdant Fiduciary X,TR,60,C-00153
ENT-0242,Oakmont Management Ltd F,EG,40,C-00153
ENT-0243,Quartz Family Office Y,RU,60,C-00154
ENT-0244,Granite Holdco G,FR,40,C-00154
ENT-0245,Keystone Management Ltd Z,KY,100,C-00155
ENT-0246,Xenon Nominees A,AE,60,C-00156
ENT-0247,Dovetail Management Ltd I,CH,40,C-00156
ENT-0248,Harbour Nominees B,SG,100,C-00157
ENT-0249,Dovetail Nominees C,TR,60,C-00158
ENT-0250,Verdant Holdco K,TR,40,C-00158
ENT-0251,Solstice Family Office D,BR,100,C-00159
ENT-0252,Rivermark Nominees E,KY,100,C-00160
ENT-0253,Aster Holdco F,NL,100,C-00161
ENT-0254,Tandem Fiduciary G,SG,60,C-00162
ENT-0255,Northstar Trustees O,CA,40,C-00162
ENT-0256,Oakmont Fiduciary H,RU,100,C-00163
ENT-0257,Lattice Family Office I,BR,60,C-00164
ENT-0258,Rivermark Holdco Q,JP,40,C-00164
ENT-0259,Juniper Trustees J,TR,100,C-00165
ENT-0260,Umbra Nominees K,RU,100,C-00166
ENT-0261,Cobalt Nominees L,RU,60,C-00167
ENT-0262,Verdant Nominees T,AE,40,C-00167
ENT-0263,Granite Management Ltd M,RU,100,C-00168
ENT-0264,Tandem Family Office N,JP,100,C-00169
ENT-0265,Juniper Fiduciary O,US,100,C-00170
ENT-0266,Oakmont Trustees P,GB,60,C-00171
ENT-0267,Quartz Nominees X,US,40,C-00171
ENT-0268,Beacon Nominees Q,LT,60,C-00172
ENT-0269,Peregrine Family Office Y,LT,40,C-00172
ENT-0270,Zephyr Fiduciary R,IE,100,C-00173
ENT-0271,Cobalt Holdco S,SG,100,C-00174
ENT-0272,Fjord Family Office T,BR,60,C-00175
ENT-0273,Mosaic Family Office B,DE,40,C-00175
ENT-0274,Northstar Trustees U,EG,60,C-00176
ENT-0275,Fjord Management Ltd C,NL,40,C-00176
ENT-0276,Northstar Family Office V,LT,60,C-00177
ENT-0277,Quartz Management Ltd D,VG,40,C-00177
ENT-0278,Oakmont Holdco W,SG,60,C-00178
ENT-0279,Xenon Family Office E,LT,40,C-00178
ENT-0280,Westhaven Management Ltd X,DE,60,C-00179
ENT-0281,Northstar Family Office F,FR,40,C-00179
ENT-0282,Juniper Management Ltd Y,JP,100,C-00180
ENT-0283,York Holdco Z,TR,60,C-00181
ENT-0284,Mosaic Fiduciary H,NL,40,C-00181
ENT-0285,Zephyr Trustees A,NL,60,C-00182
ENT-0286,Umbra Trustees I,LT,40,C-00182
ENT-0287,Keystone Nominees B,KY,60,C-00183
ENT-0288,Mosaic Holdco J,LT,40,C-00183
ENT-0289,Juniper Holdco C,KY,60,C-00184
ENT-0290,Oakmont Management Ltd K,CA,40,C-00184
ENT-0291,Ion Fiduciary D,SG,60,C-00185
ENT-0292,Lattice Nominees L,GB,40,C-00185
ENT-0293,Dovetail Holdco E,CA,60,C-00186
ENT-0294,Lattice Holdco M,KY,40,C-00186
ENT-0295,Northstar Nominees F,SE,60,C-00187
ENT-0296,Solstice Fiduciary N,IN,40,C-00187
ENT-0297,Fjord Trustees G,BR,60,C-00188
ENT-0298,Harbour Fiduciary O,NL,40,C-00188
ENT-0299,Peregrine Trustees H,SG,60,C-00189
ENT-0300,Northstar Trustees P,IN,40,C-00189
ENT-0301,Aster Nominees I,CH,100,C-00190
ENT-0302,Peregrine Trustees J,NL,60,C-00191
ENT-0303,Ion Fiduciary R,TR,40,C-00191
ENT-0304,Ion Fiduciary K,FR,100,C-00192
ENT-0305,Tandem Family Office L,TR,60,C-00193
ENT-0306,Quartz Trustees T,SG,40,C-00193
ENT-0307,Verdant Fiduciary M,FR,60,C-00194
ENT-0308,Juniper Holdco U,US,40,C-00194
ENT-0309,Cobalt Holdco N,IE,100,C-00195
ENT-0310,Umbra Fiduciary O,CA,60,C-00196
ENT-0311,Solstice Trustees W,CH,40,C-00196
ENT-0312,Fjord Trustees P,VG,100,C-00197
ENT-0313,Verdant Holdco Q,TR,100,C-00198
ENT-0314,Ion Holdco R,DE,60,C-00199
ENT-0315,Evergreen Trustees Z,NL,40,C-00199
ENT-0316,Aster Management Ltd S,KY,100,C-00200
ENT-0317,Tandem Family Office T,SE,60,C-00201
ENT-0318,Aster Management Ltd B,DE,40,C-00201
ENT-0319,Quartz Holdco U,IE,100,C-00202
ENT-0320,Fjord Fiduciary V,KY,60,C-00203
ENT-0321,Cobalt Fiduciary D,SE,40,C-00203
ENT-0322,Dovetail Holdco W,LT,60,C-00204
ENT-0323,Cobalt Family Office E,CH,40,C-00204
ENT-0324,Harbour Trustees X,AE,60,C-00205
ENT-0325,Zephyr Trustees F,CA,40,C-00205
ENT-0326,Westhaven Management Ltd Y,IE,60,C-00206
ENT-0327,Harbour Family Office G,GB,40,C-00206
ENT-0328,Juniper Holdco Z,CH,60,C-00207
ENT-0329,Mosaic Family Office H,TR,40,C-00207
ENT-0330,Northstar Trustees A,RU,100,C-00208
ENT-0331,Oakmont Family Office B,JP,100,C-00209
ENT-0332,Cobalt Management Ltd C,FR,60,C-00210
ENT-0333,Cobalt Management Ltd K,FR,40,C-00210
ENT-0334,Peregrine Family Office D,SE,60,C-00211
ENT-0335,Xenon Nominees L,VG,40,C-00211
ENT-0336,Juniper Trustees E,EG,60,C-00212
ENT-0337,York Nominees M,CH,40,C-00212
ENT-0338,Verdant Management Ltd F,TR,100,C-00213
ENT-0339,Keystone Fiduciary G,RU,100,C-00214
ENT-0340,Peregrine Nominees H,TR,100,C-00215
ENT-0341,Aster Family Office I,AE,100,C-00216
ENT-0342,Verdant Family Office J,SG,60,C-00217
ENT-0343,Zephyr Family Office R,CH,40,C-00217
ENT-0344,Westhaven Family Office K,NL,60,C-00218
ENT-0345,Solstice Trustees S,CH,40,C-00218
ENT-0346,York Fiduciary L,CA,100,C-00219
ENT-0347,Juniper Management Ltd M,NL,60,C-00220
ENT-0348,Westhaven Trustees U,CH,40,C-00220
ENT-0349,Juniper Management Ltd N,IN,60,C-00221
ENT-0350,Oakmont Holdco V,DE,40,C-00221
ENT-0351,Evergreen Family Office O,VG,60,C-00222
ENT-0352,Rivermark Holdco W,RU,40,C-00222
ENT-0353,Fjord Family Office P,BR,60,C-00223
ENT-0354,Xenon Family Office X,NL,40,C-00223
ENT-0355,Rivermark Nominees Q,LT,60,C-00224
ENT-0356,Granite Management Ltd Y,CH,40,C-00224
ENT-0357,Mosaic Trustees R,SE,100,C-00225
ENT-0358,Mosaic Family Office S,CA,100,C-00226
ENT-0359,Beacon Holdco T,TR,60,C-00227
ENT-0360,Keystone Trustees B,FR,40,C-00227
ENT-0361,Cobalt Management Ltd U,VG,60,C-00228
ENT-0362,Granite Trustees C,BR,40,C-00228
ENT-0363,Keystone Trustees V,CH,60,C-00229
ENT-0364,Northstar Trustees D,CH,40,C-00229
ENT-0365,Peregrine Holdco W,VG,60,C-00230
ENT-0366,Peregrine Management Ltd E,SE,40,C-00230
ENT-0367,Harbour Management Ltd X,NL,60,C-00231
ENT-0368,Tandem Fiduciary F,CH,40,C-00231
ENT-0369,Tandem Holdco Y,NL,60,C-00232
ENT-0370,Aster Trustees G,SE,40,C-00232
ENT-0371,Quartz Family Office Z,CA,100,C-00233
ENT-0372,Westhaven Holdco A,KY,60,C-00234
ENT-0373,York Family Office I,EG,40,C-00234
ENT-0374,Ion Management Ltd B,TR,60,C-00235
ENT-0375,Keystone Trustees J,TR,40,C-00235
ENT-0376,Zephyr Fiduciary C,SE,100,C-00236
ENT-0377,Keystone Family Office D,VG,60,C-00237
ENT-0378,Quartz Family Office L,CA,40,C-00237
ENT-0379,Westhaven Holdco E,BR,60,C-00238
ENT-0380,Verdant Family Office M,SG,40,C-00238
ENT-0381,Cobalt Trustees F,SE,60,C-00239
ENT-0382,Westhaven Holdco N,US,40,C-00239
ENT-0383,Umbra Holdco G,EG,60,C-00240
ENT-0384,Lattice Fiduciary O,EG,40,C-00240
ENT-0385,Dovetail Fiduciary H,AE,100,C-00241
ENT-0386,Xenon Trustees I,DE,60,C-00242
ENT-0387,Ion Management Ltd Q,GB,40,C-00242
ENT-0388,Tandem Holdco J,DE,60,C-00243
ENT-0389,Fjord Holdco R,DE,40,C-00243
ENT-0390,Mosaic Fiduciary K,CA,60,C-00244
ENT-0391,Juniper Family Office S,EG,40,C-00244
ENT-0392,Umbra Holdco L,BR,60,C-00245
ENT-0393,Westhaven Nominees T,BR,40,C-00245
ENT-0394,Xenon Nominees M,NL,100,C-00246
ENT-0395,Oakmont Fiduciary N,AE,60,C-00247
ENT-0396,Cobalt Nominees V,DE,40,C-00247
ENT-0397,Granite Nominees O,CA,60,C-00248
ENT-0398,Ion Nominees W,CH,40,C-00248
ENT-0399,Umbra Management Ltd P,CA,60,C-00249
ENT-0400,Beacon Nominees X,KY,40,C-00249
ENT-0401,Verdant Fiduciary Q,AE,60,C-00250
ENT-0402,Oakmont Fiduciary Y,JP,40,C-00250
